date,kpi001,kpi002,kpi003,kpi004,kpi005,kpi006,kpi007,kpi008,kpi009
2025-06-01,316.4595,524.84402,0.0,0.0,0.0,0.0,0.0,0.0,6379776.0
2025-06-02,310.37851,520.71623,0.0,0.0,0.0,0.0,0.0,0.0,6391424.0
2025-06-03,311.66343,518.75052,0.0,0.0,0.0,0.0,0.0,0.0,6386432.0
2025-06-04,308.67211,499.13113,0.0,0.0,0.0,0.0,0.0,0.0,6398080.0
2025-06-05,307.54939,510.22094,0.0,0.0,0.0,0.0,0.0,0.0,6404736.0
2025-06-06,344.12882,593.843,0.0,0.0,0.0,0.0,0.0,0.0,6403072.0
2025-06-07,330.37357000000003,581.76558,0.0,0.0,0.0,0.0,0.0,0.0,6411392.0
2025-06-08,334.20252,588.32471,0.0,0.0,0.0,0.0,0.0,0.0,6408064.0
2025-06-09,324.5451,568.98651,0.0,0.0,0.0,0.0,0.0,0.0,6416384.0
2025-06-10,331.82787,570.12226,0.0,0.0,0.0,0.0,0.0,0.0,6416384.0
2025-06-11,325.30335,560.22542,0.0,0.0,0.0,0.0,0.0,0.0,6429696.0
2025-06-12,322.70925,547.44883,0.0,0.0,0.0,0.0,0.0,0.0,6438016.0
2025-06-13,317.11938,549.44839,0.0,0.0,0.0,0.0,0.0,0.0,6426368.0
2025-06-14,315.58443,533.44001,0.0,0.0,0.0,0.0,0.0,0.0,6426368.0
2025-06-15,315.76615,542.56017,0.0,0.0,0.0,0.0,0.0,0.0,6436352.0
2025-06-16,311.63608,535.47434,0.0,0.0,0.0,0.0,0.0,0.0,6426368.0
2025-06-17,315.08918,535.65541,0.0,0.0,0.0,0.0,0.0,0.0,6433024.0
2025-06-18,319.13243,528.78097,0.0,0.0,0.0,0.0,0.0,0.0,6434688.0
2025-06-19,315.23326000000003,529.74124,0.0,0.0,0.0,0.0,0.0,0.0,6429696.0
2025-06-20,309.83529,536.65291,0.0,0.0,0.0,0.0,0.0,0.0,6444672.0
2025-06-21,312.32927,534.29699,0.0,0.0,0.0,0.0,0.0,0.0,6433024.0
2025-06-22,314.05093,533.05533,0.0,0.0,0.0,0.0,0.0,0.0,6433024.0
2025-06-23,307.7327,519.57393,0.0,0.0,0.0,0.0,0.0,0.0,6428032.0
2025-06-24,294.38434,484.36426,0.0,0.0,0.0,0.0,0.0,0.0,6448000.0
2025-06-25,288.99758,486.24468,0.0,0.0,0.0,0.0,0.0,0.0,6429696.0
2025-06-26,289.78995,499.9139,0.0,0.0,0.0,0.0,0.0,0.0,6436352.0
2025-06-27,290.83863,499.95618,0.0,0.0,0.0,0.0,0.0,0.0,6414720.0
2025-06-28,295.98383,513.43583,0.0,0.0,0.0,0.0,0.0,0.0,6436352.0
2025-06-29,295.8342,504.07934,0.0,0.0,0.0,0.0,0.0,0.0,6436352.0
2025-06-30,294.4921,495.35861,0.0,0.0,0.0,0.0,0.0,0.0,6434688.0
2025-07-01,292.80621,502.70923,146325.09,28461.24,1338538215.539,163373889.413,0.0,0.0,7406464.0
2025-07-02,296.56567,511.84782,144574.968,28350.29,1342289327.748,165232565.003,0.0,0.0,7403136.0
2025-07-03,295.60848,514.32967,150669.777,28987.1,1278272848.973,157653016.588,0.0,0.0,7401472.0
2025-07-04,297.27106,510.26997,154753.808,29994.12,1339741270.504,165063470.338,0.0,0.0,7396480.0
2025-07-05,290.57608,500.39168,148988.267,29120.91,1313994448.191,164182456.18,0.0,0.0,7391488.0
2025-07-06,291.55142,495.91626,148644.404,29447.66,1187508633.632,150908857.438,0.0,0.0,7403136.0
2025-07-07,286.23349,426.27337,119783.368,26723.09,995071388.662,137261865.895,0.0,0.0,7396480.0
2025-07-08,315.13357,415.43822,92445.158,26881.54,739236915.447,121457568.436,0.0,0.0,7383168.0
2025-07-09,327.12359,481.75555,96522.438,25632.29,941423967.774,137416875.126,0.0,0.0,7424768.0
2025-07-10,353.34844,534.68382,102652.346,27141.2,973139828.685,143977210.266,0.0,0.0,7383168.0
2025-07-11,349.92185,574.21052,112527.137,27732.16,1079394922.28,151526464.946,0.0,0.0,7379840.0
2025-07-12,341.18486,576.83802,111586.716,27007.31,1143512352.256,157146314.441,0.0,0.0,7383168.0
2025-07-13,326.48456,548.44533,109641.582,27336.96,1033481943.39,146115811.329,0.0,0.0,7386496.0
2025-07-14,291.57444,521.81086,108637.492,26336.12,1135000662.03,158819211.996,0.0,0.0,7389824.0
2025-07-15,295.05275,538.74434,112005.711,26837.87,1085501882.366,150872643.244,0.0,0.0,7404800.0
2025-07-16,308.97236,558.26843,117523.48,28152.2,1111921158.967,156203913.133,0.0,0.0,7401472.0
2025-07-17,322.46538,613.70853,129694.822,30240.95,1140329049.09,157269327.206,0.0,0.0,7398144.0
2025-07-18,322.69780000000003,621.93396,131662.058,30133.53,1143045609.037,154734288.685,0.0,0.0,7396480.0
2025-07-19,322.66845,603.49154,126762.532,29127.99,1139554699.042,154369485.427,0.0,0.0,7401472.0
2025-07-20,321.44381,583.97503,126017.535,28769.22,1198297380.361,163558537.211,0.0,0.0,7401472.0
2025-07-21,319.75354,575.93557,125051.409,28623.96,1193778723.207,161417364.364,0.0,0.0,556035584.0
2025-07-22,318.42319,575.85318,133105.801,29282.52,1239567911.892,166828725.236,0.0,0.0,556160592.0
2025-07-23,306.20026,545.15287,134521.139,28628.12,1198946352.5,158717555.914,0.0,0.0,556285600.0
2025-07-24,294.35485,508.91425,136451.29,28111.170000000002,1196538596.322,154304385.343,0.0,0.0,556160592.0
